Codigo;Descripci�n;"Cod SubRubro";SubRubro;"Cod Rubro";Rubro;"Cod Marca";Marca;"Cod Provedor";Proveedor;Temporada;"Fecha Alta";"Fecha Modificado";"Precio Costo";"Precio Venta";"Utilidad 1";"Utilidad 2";Cantidad;"Stock Min";Vencimiento;Reponer;imagenes
"Cod: 30534";"LIMPIADOR LIQ.P/PISO B.MARINA 900C MISTER TRAPO 45647";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;26-07-2024;31-07-2024;990;1,700.00;72;72;25;0;;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_396.jpg
"Cod: 30535";"LIMPIADOR LIQ.P/PISO F.BLANCAS 900C MISTER TRAPO 45664";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;26-07-2024;31-07-2024;990;1,700.00;72;72;23;0;;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_397.jpg
"Cod: 30521";"LIMPIADOR LIQ.P/PISO LAVANDA 900C MISTER TRAPO 45633";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;26-07-2024;31-07-2024;990;1,700.00;72;72;19;0;;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_383.jpg
"Cod: 30522";"LIMPIADOR LIQ.P/PISO LIMON 900C MISTER TRAPO 45648";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;26-07-2024;31-07-2024;990;1,700.00;72;72;22;0;;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_384.jpg
"Cod: 30523";"LIMPIADOR P/BAÑO LIQ.500C DOY PACK MISTER TRAPO 45873";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;26-07-2024;26-07-2024;874.15;1,500.00;72;72;2;0;;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_385.jpg
"Cod: 7020";"LINGA 12MM 80CM 201710";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;16-12-2020;07-04-2026;3917;7,129.00;82;82;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1626361079_Screenshot_21.jpg
"Cod: 7021";"LINGA 16MM 120CM 20179";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;16-12-2020;20-07-2022;5910;10,756.00;82;82;0;;;;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 7048";"LINGA 2 MTS C/ GANCHOS 91530";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;21-12-2020;19-07-2022;1990;3,423.00;72;72;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1608582651_Screenshot_671.jpg
"Cod: 37679";"LINGA 4MTS C/GANCHOS 91530B 91532";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;23-12-2025;23-12-2025;1469.21;2,499.00;70;30;9;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Gemini_Generated_Image_1h0g831h0g831h0g.png
"Cod: 6284";"LINGA CADENA FORRADA C/ CANDADO MA8262";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;18-06-2019;07-04-2026;1752;3,714.00;112;112;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1561031032_Screenshot_167.jpg
"Cod: 30577";"LINTERNA 10C 1LED 2POSIC.+ LUZ EMERG.USB XF23069 23069";98;ELECTRICIDAD;11;HOGAR/JARDIN;1;"Sin Especificar";9;"Torre &  Liva IMPORTADO";0;27-07-2024;16-04-2026;2835;4,500.00;65;30;57;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_439.jpg
"Cod: 7013";"LINTERNA 200 LUMENS ";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;03-12-2020;20-07-2022;11299;16,948.00;50;50;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1607000284_Screenshot_625.jpg
"Cod: 5061";"LINTERNA 44 LED METAL";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;28-11-2017;13-06-2025;323;643.00;99;99;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 5099";"LINTERNA 44 LED METAL";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;13-12-2017;14-07-2021;481;904.00;88;88;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1513200646_5061.jpg
"Cod: 5084";"LINTERNA 9 LED RK51027";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;13-12-2017;26-04-2021;338;717.00;112;112;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1560292357_Screenshot_134.jpg
"Cod: 4014";"LINTERNA 9 LED Z51027";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;02-11-2016;01-08-2025;92;140.00;52;52;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 28623";"LINTERNA DE MANO LEDS CHICA";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";4;"Fabian Gil";0;06-12-2023;09-04-2026;1920;3,300.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_480.jpg
"Cod: 6037";"LINTERNA EVEREDY ROJA -";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;12-02-2019;16-07-2021;780;936.00;20;55;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1626443988_Screenshot_38.png
"Cod: 7207";"LINTERNA FAROL 12 LED REF LUZ 9789";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;24-04-2021;14-07-2021;3586;6,527.00;82;82;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1619277635_Screenshot_587.jpg
"Cod: 7033";"LINTERNA FAROL 30LED 71319";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;17-12-2020;20-07-2022;8699;14,962.00;72;72;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1608215244_Screenshot_654.jpg
"Cod: 5060";"LINTERNA GRANDE 047";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;28-11-2017;09-09-2025;2072;3,709.00;79;79;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 5100";"LINTERNA GRANDE 047";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;13-12-2017;14-07-2021;3110;5,629.00;81;81;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1513200717_5060.jpg
"Cod: 6215";"LINTERNA LED 1 PILA AA LK9139";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;04-06-2019;24-04-2021;403;733.00;82;82;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1560292291_Screenshot_133.jpg
"Cod: 6216";"LINTERNA LED 2 FUNCIONES 4+1 PIA AA YN888";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;04-06-2019;24-04-2021;588;1,070.00;82;82;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1560292540_Screenshot_131.jpg
"Cod: 6561";"LINTERNA LED ALTO ALCANCE 51029";10;REGALERIA;5;BAZAR;1;"Sin Especificar";10;"Torre & Liva NACIONAL";0;30-01-2020;11-03-2026;1734;3,156.00;82;82;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1580589853_Screenshot_27.jpg
"Cod: 3890";"LINTERNA LED CHICA KH178";8;JUGUETERIA;4;JUGUETERIA;1;"Sin Especificar";0;;0;03-08-2016;03-02-2025;50;78.00;55;55;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 20139";"LINTERNA MEDIANA 14507";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";0;;2;20-02-2023;27-01-2025;45091;77,557.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 4444";"LINTERNA METALICA CON 9 LEDS";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;19-04-2017;01-08-2025;144;194.00;35;35;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
